年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,133,60,144.5,96.2,138.5,126,41.6,42.9,10.37,4.2,0.3,4.5,4.68,3.11,3.56,40.5,2.89,43.4
2018,129,57,114,81.3,96.9,100,10.3,11.9,8.29,3.8,0.2,4,4.92,3.51,4,45.8,2.41,48.3
2017,126,52,90,54.7,86.6,77.1,31.5,57.2,6.36,3.4,0,3.4,6.22,3.78,4.41,53.5,0,53.5
2016,114,47,58.8,48.3,55.1,53.8,-1.8,-3.2,6.02,3.1,0,3.1,6.42,5.27,5.77,51.5,0,51.5
2015,114,47,86.9,44.5,56.9,68.1,-21.9,-27.8,6.23,2.8,0.4,3.2,7.19,3.68,4.7,44.9,6.42,51.4
2014,110,51,82.5,70.3,78.8,75.6,0.4,0.5,5.91,2,1,3,4.27,3.64,3.97,33.8,16.9,50.8
2013,99.6,51,97.8,59.2,78.4,76.7,11.8,17.7,5.11,2,1,3,5.07,3.07,3.91,39.1,19.6,58.7
2012,90.5,51,69.3,26.8,66.6,47.1,39.1,142,3.35,2.3,0,2.3,8.58,3.32,4.88,68.7,0,68.7
2011,78.5,47,28.75,22.85,27.5,26,2.5,10,2.65,1.19,0,1.19,5.2,4.13,4.56,44.8,0,44.8
2010,69.1,47,-,-,-,-,-,-,0,0,0,0,-,-,-,0,0,0
2009,91.6,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
