年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,43.7,77,392,238.5,372.5,322,92,32.8,31.18,25,0,25,10.5,6.38,7.77,80.2,0,80.2
2018,43.7,74,642,200.5,280.5,416,-117,-29.4,12.68,10,0,10,4.99,1.56,2.41,78.9,0,78.9
2017,43.7,55,448,106,397.5,260,282.5,246,2.54,2.5,0,2.5,2.36,0.56,0.96,98.4,0,98.4
2016,36.9,40,122.5,63.2,115,77.3,37.4,48.2,5.8,5,0,5,7.91,4.08,6.47,86.2,0,86.2
2015,36.9,60,84.4,64.8,77.6,75.4,16.1,26.2,6.6,5.7,0,5.7,8.8,6.75,7.56,86.4,0,86.4
2014,31.8,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
