年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,066",53,14.8,12.95,14.6,14,1.55,11.9,1.09,0.51,0.21,0.72,5.53,4.84,5.11,46.6,19.1,65.7
2018,"1,044",47,15.35,12.95,13.05,14.3,-0.8,-5.8,1.15,0.54,0.44,0.99,7.61,6.42,6.9,47.1,38.6,85.7
2017,998,47,14.45,11.7,13.85,13.1,2.05,17.4,1.14,0.53,0.43,0.95,8.16,6.61,7.29,46.1,37.7,83.8
2016,951,50,13.45,9.91,11.8,11.8,0.4,3.5,1.39,0.48,0.72,1.21,12.2,8.97,10.3,34.7,52.1,86.8
2015,886,50,14.3,10,11.4,12.6,-1.65,-12.6,0.08,0.1,0,0.1,1,0.7,0.79,125,0,125
2014,884,41,16.55,12.15,13.05,14.5,-1.6,-10.9,1.72,0.43,0.99,1.42,11.7,8.57,9.77,24.8,57.8,82.5
2013,751,47,15,11.4,14.65,13.2,3.1,26.8,1.3,0.22,0.89,1.11,9.77,7.42,8.4,17.1,68.5,85.7
2012,689,47,12.65,9.99,11.55,11.3,1.05,10,1.26,0.22,0.9,1.12,11.2,8.85,9.93,17.8,71.1,88.8
2011,633,47,18.3,9.3,10.5,14.6,-6.75,-39.1,1.06,0.23,0.7,0.93,10,5.08,6.36,21.7,66,87.7
2010,591,44,17.6,9.91,17.25,13.2,4.65,36.9,1.27,0,1.1,1.1,11.1,6.25,8.33,0,86.6,86.6
2009,532,41,14.8,4.3,12.6,10.2,6.82,118,-1.01,0,0,0,0,0,0,0,0,0
2008,571,25,16.5,3.64,5.78,10.9,-7.67,-57,0.55,0.18,0,0.18,4.95,1.09,1.66,32.7,0,32.7
2007,571,38,21.3,11.85,13.45,16.6,-5.65,-29.6,-3.13,0,0,0,0,0,0,0,0,0
2006,571,25,23.45,14.6,19.1,18.3,1.9,11,-0.68,0,0,0,0,0,0,0,0,0
2005,512,32,30.6,16.4,17.2,24.1,-12.6,-42.3,2.8,1.3,1.46,2.76,16.8,9.02,11.4,46.4,52.1,98.5
2004,441,52,33.5,21.4,29.8,28.2,4.7,18.7,2.16,1.2,0.63,1.83,8.53,5.45,6.48,55.6,29,84.5
2003,368,50,26.8,15.5,25.1,19.5,7.3,41,1.98,1,0,1,6.45,3.73,5.12,50.5,0,50.5
2002,363,43,20.5,12.5,17.8,16.3,4.85,37.5,-,0.57,0,0.57,4.6,2.8,3.53,-,-,-
2001,-,-,21,10.2,12.95,14.6,-1.45,-10.1,-,-,-,-,-,-,-,-,-,-
2000,-,-,26.5,12,14.4,18.3,-3.2,-18.2,-,-,-,-,-,-,-,-,-,-
1999,-,-,26.2,11,17.6,19.3,5.5,45.5,-,-,-,-,-,-,-,-,-,-
1998,-,-,26.3,11.85,12.1,19.3,-13.2,-52.2,-,-,-,-,-,-,-,-,-,-
1997,-,-,36,21.7,25.3,27,-4.4,-14.8,-,-,-,-,-,-,-,-,-,-
1996,-,-,31.7,12.3,29.7,22.7,17.3,140,-,-,-,-,-,-,-,-,-,-
1995,-,-,13,11.5,12.4,12,-0.45,-3.5,-,-,-,-,-,-,-,-,-,-
