date,adjclose
2019-12-16,280.3101
2019-12-13,275.15
2019-12-12,271.46
2019-12-11,270.77
2019-12-10,268.48
2019-12-09,266.92
2019-12-06,270.71
2019-12-05,265.58
2019-12-04,261.74
2019-12-03,259.45
2019-12-02,264.16
2019-11-29,267.25
2019-11-27,267.84
2019-11-26,264.29
2019-11-25,266.37
2019-11-22,261.78
2019-11-21,262.01
2019-11-20,263.19
2019-11-19,266.29
2019-11-18,267.10
2019-11-15,265.76
2019-11-14,262.64
2019-11-13,264.47
2019-11-12,261.96
2019-11-11,262.20
2019-11-08,260.14
2019-11-07,259.43
2019-11-06,256.4701
2019-11-05,256.3604
2019-11-04,256.7293
2019-11-01,255.0543
2019-10-31,248.0155
2019-10-30,242.5319
2019-10-29,242.5618
2019-10-28,248.3046
2019-10-25,245.842
2019-10-24,242.851
2019-10-23,242.4522
2019-10-22,239.2418
2019-10-21,239.7902
2019-10-18,235.7024
2019-10-17,234.5758
2019-10-16,233.6685
2019-10-15,234.6157
2019-10-14,235.164
2019-10-11,235.503
2019-10-10,229.4013
2019-10-09,226.3505
2019-10-08,223.7284
2019-10-07,226.3804
2019-10-04,226.3306
2019-10-03,220.1591
2019-10-02,218.3047
2019-10-01,223.9178
2019-09-30,223.2997
2019-09-27,218.1651
2019-09-26,219.2319
2019-09-25,220.3685
2019-09-24,217.0285
2019-09-23,218.0654
2019-09-20,217.0783
2019-09-19,220.2987
2019-09-18,222.1032
2019-09-17,220.0394
2019-09-16,219.2418
2019-09-13,218.0953
2019-09-12,222.4173
2019-09-11,222.9208
2019-09-10,216.0514
2019-09-09,213.529
2019-09-06,212.6217
2019-09-05,212.6417
2019-09-04,208.5639
2019-09-03,205.0843
2019-08-30,208.1152
2019-08-29,208.3844
2019-08-28,204.9148
2019-08-27,203.5489
2019-08-26,205.872
2019-08-23,202.0335
2019-08-22,211.8241
2019-08-21,212.0036
2019-08-20,209.7304
2019-08-19,209.7204
2019-08-16,205.8819
2019-08-15,201.1362
2019-08-14,202.1432
2019-08-13,208.3446
2019-08-12,199.88
2019-08-09,200.3884
2019-08-08,202.0535
2019-08-07,197.6932
2019-08-06,195.667
2019-08-05,192.0317
2019-08-02,202.6395
2019-08-01,207.0196
2019-07-31,211.5984
2019-07-30,207.3673
2019-07-29,208.2612
2019-07-26,206.3343
2019-07-25,205.6192
2019-07-24,207.258
2019-07-23,207.4268
2019-07-22,205.8178
2019-07-19,201.2191
2019-07-18,204.2684
2019-07-17,201.974
2019-07-16,203.1162
2019-07-15,203.8214
2019-07-12,201.9243
2019-07-11,200.3848
2019-07-10,201.8548
2019-07-09,199.8783
2019-07-08,198.6665
2019-07-05,202.848
2019-07-03,203.0268
2019-07-02,201.3582
2019-07-01,200.1862
2019-06-28,196.5807
2019-06-27,198.3884
2019-06-26,198.448
2019-06-25,194.2466
2019-06-24,197.2363
2019-06-21,197.4349
2019-06-20,198.1103
2019-06-19,196.5311
2019-06-18,197.1072
2019-06-17,192.578
2019-06-14,191.4358
2019-06-13,192.8363
2019-06-12,192.876
2019-06-11,193.4918
2019-06-10,191.2769
2019-06-07,188.8633
2019-06-06,183.9667
2019-06-05,181.3048
2019-06-04,178.4244
2019-06-03,172.1273
2019-05-31,173.8854
2019-05-30,177.0935
2019-05-29,176.1797
2019-05-28,177.024
2019-05-24,177.759
2019-05-23,178.4443
2019-05-22,181.5432
2019-05-21,185.3373
2019-05-20,181.8511
2019-05-17,187.7211
2019-05-16,188.7938
2019-05-15,189.6281
2019-05-14,187.3834
2019-05-13,184.4633
2019-05-10,195.8457
2019-05-09,198.597
2019-05-08,200.754
2019-05-07,200.7144
2019-05-06,206.275
2019-05-03,209.5104
2019-05-02,206.9379
2019-05-01,208.2934
2019-04-30,198.5476
2019-04-29,202.4459
2019-04-26,202.1392
2019-04-25,203.1088
2019-04-24,204.9689
2019-04-23,205.2855
2019-04-22,202.3667
2019-04-18,201.7038
2019-04-17,200.9816
2019-04-16,197.1426
2019-04-15,197.1228
2019-04-12,196.7666
2019-04-11,196.8458
2019-04-10,198.4981
2019-04-09,197.3899
2019-04-08,197.9836
2019-04-05,194.9164
2019-04-04,193.6202
2019-04-03,193.2838
2019-04-02,191.9679
2019-04-01,189.2173
2019-03-29,187.941
2019-03-28,186.724
2019-03-27,186.4766
2019-03-26,184.8144
2019-03-25,186.7438
2019-03-22,189.0293
2019-03-21,193.0266
2019-03-20,186.1699
2019-03-19,184.5571
2019-03-18,186.0314
2019-03-15,184.1515
2019-03-14,181.7867
2019-03-13,179.7881
