date,adjclose
2016/7/1,1.375
2016/3/25,1.5
2015/12/18,1.625
2015/9/25,1.75
2011/7/1,1.875
2011/4/1,1.75
2010/12/31,1.625
2010/10/1,1.5
2010/6/25,1.375
2009/2/19,1.25
2009/1/8,1.5
2008/12/12,2
2008/11/10,2.75
2008/10/30,3
2008/10/9,3.25
2008/9/26,3.5
2008/6/27,3.625
2008/3/28,3.5
2007/12/21,3.375
2007/9/21,3.25
2007/6/22,3.125
2007/3/30,2.875
2006/12/29,2.75
2006/9/29,2.625
2006/6/30,2.5
2006/3/31,2.375
2005/12/23,2.25
2005/9/16,2.125
2005/7/1,2
2005/3/25,1.875
2004/12/31,1.75
2004/10/1,1.625
2003/6/27,1.375
2002/11/12,1.625
2002/6/28,1.875
2001/12/28,2.125
2001/11/8,2.25
2001/10/4,2.5
2001/9/19,2.75
2001/8/20,3.25
2001/6/29,3.5
2001/5/18,3.75
2001/4/23,4
2001/3/30,4.125
2001/3/6,4.25
2001/2/2,4.375
2000/12/29,4.625
