Date,adjclose
12/17/2019,$88.32
12/16/2019,$88.43
12/13/2019,$87.83
12/12/2019,$89.05
12/11/2019,$86.99
12/10/2019,$84.12
12/09/2019,$84.92
12/06/2019,$83.82
12/05/2019,$82.59
12/04/2019,$82.08
12/03/2019,$80.58
12/02/2019,$82.45
11/29/2019,$83.55
11/27/2019,$84.80
11/26/2019,$84.63
11/25/2019,$85.29
11/22/2019,$84.89
11/21/2019,$85.11
11/20/2019,$85.62
11/19/2019,$87.96
11/18/2019,$90.48
11/15/2019,$90.81
11/14/2019,$90.48
11/13/2019,$90.47
11/12/2019,$90.97
11/11/2019,$91.84
11/08/2019,$94.03
11/07/2019,$89.98
11/06/2019,$84.63
11/05/2019,$85.46
11/04/2019,$85.09
11/01/2019,$83.58
10/31/2019,$80.44
10/30/2019,$81.44
10/29/2019,$81.66
10/28/2019,$83.05
10/25/2019,$80.17
10/24/2019,$78.99
10/23/2019,$77.24
10/22/2019,$78.47
10/21/2019,$78.98
10/18/2019,$77.68
10/17/2019,$78.97
10/16/2019,$78.23
10/15/2019,$77.82
10/14/2019,$76.30
10/11/2019,$76.70
10/10/2019,$74.97
10/09/2019,$74.35
10/08/2019,$72.85
10/07/2019,$76.34
10/04/2019,$77.49
10/03/2019,$75.73
10/02/2019,$73.99
10/01/2019,$75.47
09/30/2019,$76.28
09/27/2019,$76.63
09/26/2019,$77.35
09/25/2019,$77.26
09/24/2019,$75.23
09/23/2019,$77.24
09/20/2019,$76.44
09/19/2019,$78.23
09/18/2019,$78.90
09/17/2019,$78.69
09/16/2019,$78.04
09/13/2019,$78.41
09/12/2019,$79.08
09/11/2019,$79.90
09/10/2019,$78.71
09/09/2019,$78.21
09/06/2019,$78.84
09/05/2019,$78.99
09/04/2019,$77.09
09/03/2019,$75.12
08/30/2019,$77.77
08/29/2019,$76.45
08/28/2019,$74.35
08/27/2019,$73.97
08/26/2019,$72.91
08/23/2019,$73.52
08/22/2019,$77.15
08/21/2019,$76.70
08/20/2019,$76.07
08/19/2019,$74.87
08/16/2019,$73.28
08/15/2019,$71.16
08/14/2019,$70.88
08/13/2019,$72.18
08/12/2019,$69.80
08/09/2019,$71.50
08/08/2019,$71.26
08/07/2019,$69.40
08/06/2019,$68.17
08/05/2019,$68.80
08/02/2019,$71.15
08/01/2019,$71.20
07/31/2019,$73.16
07/30/2019,$74.81
07/29/2019,$74.97
07/26/2019,$75.22
07/25/2019,$75.35
07/24/2019,$75.87
07/23/2019,$74.12
07/22/2019,$75.95
07/19/2019,$75.00
07/18/2019,$74.37
