日期,收盤
2019-12-18,16.8
2019-12-17,17
2019-12-16,16.65
2019-12-13,16.6
2019-12-12,16.6
2019-12-11,16.25
2019-12-10,16.45
2019-12-09,16.25
2019-12-06,16.2
2019-12-05,16.55
2019-12-04,15.85
2019-12-03,15.35
2019-12-02,15.1
2019-11-29,14.95
2019-11-28,15.1
2019-11-27,15.2
2019-11-26,15.2
2019-11-25,15
2019-11-22,14.6
2019-11-21,14.65
2019-11-20,14.75
2019-11-19,14.55
2019-11-18,14.5
2019-11-15,14.3
2019-11-14,14.5
2019-11-13,14.2
2019-11-12,14.3
2019-11-11,14.25
2019-11-08,14.25
2019-11-07,14.25
2019-11-06,14.5
2019-11-05,14.5
2019-11-04,14.65
2019-11-01,14.5
2019-10-31,14
2019-10-30,14.4
2019-10-29,14.5
2019-10-28,14.25
2019-10-25,14.4
2019-10-24,14.55
2019-10-23,14.05
2019-10-22,14
2019-10-21,13.9
2019-10-18,13.95
2019-10-17,13.8
2019-10-16,13.75
2019/10/15,13.7
2019/10/14,13.5
2019/10/09,13.15
2019/10/08,13.35
2019/10/07,13.35
2019/10/04,13.45
2019/10/03,13.4
2019/10/02,13.5
2019/10/01,13.65
2019/09/27,13.4
2019/09/26,13.6
2019/09/25,13.6
2019/09/24,13.65
2019/09/23,13.7
2019/09/20,13.8
2019/09/19,13.6
2019/09/18,13.55
2019/09/17,13.55
2019/09/16,13.6
2019/09/12,13.7
2019/09/11,13.7
2019/09/10,13.6
2019/09/09,13.6
2019/09/06,13.55
2019/09/05,13.6
2019/09/04,13.6
2019/09/03,13.2
2019/09/02,13.35
2019/08/30,13.45
2019/08/29,13.2
2019/08/28,13.15
2019/08/27,13.05
2019/08/26,13
2019/08/23,13.35
2019/08/22,13.25
2019/08/21,13.5
2019/08/20,13.5
2019/08/19,13.45
2019/08/16,13.35
2019/08/15,12.9
2019/08/14,13.1
2019/08/13,12.95
2019/08/12,13
2019/08/08,13.3
2019/08/07,13.1
2019/08/06,13
2019/08/05,13.1
2019/08/02,13.35
2019/08/01,13.4
2019/07/31,13.8
2019/07/30,13.6
2019/07/29,13.4
2019/07/26,13.2
2019/07/25,13.55
2019/07/24,13.85
2019/07/23,13.6
2019/07/22,13.6
2019/07/19,13.8
2019/07/18,13.8
2019/07/17,13.75
2019/07/16,14
2019/07/15,14.9
2019/07/12,14.6
2019/07/11,14.95
2019/07/10,14.65
2019/07/09,14
2019/07/08,13.95
2019/07/05,14.1
2019/07/04,14.15
2019/07/03,14.05
2019/07/02,14.25
2019/07/01,14.35
2019/06/28,13.95
2019/06/27,14
2019/06/26,13.8
2019/06/25,13.7
2019/06/24,13.75
2019/06/21,13.7
2019/06/20,13.4
2019/06/19,13.65
2019/06/18,13.25
2019/06/17,13.65
2019/06/14,13.7
2019/06/13,13.75
2019/06/12,13.55
2019/06/11,13.4
2019/06/10,13.3
2019/06/06,13.05
2019/06/05,12.9
2019/06/04,13
2019/06/03,13.2
2019/05/31,12.9
2019/05/30,12.75
2019/05/29,12.6
2019/05/28,12.45
2019/05/27,12.8
2019/05/24,12.95
2019/05/23,12.85
2019/05/22,13
2019/05/21,12.95
2019/05/20,12.75
2019/05/17,13
2019/05/16,12.95
2019/05/15,12.9
2019/05/14,13
2019/05/13,12.95
2019/05/10,13.2
2019/05/09,13.15
2019/05/08,13.45
2019/05/07,13.6
2019/05/06,13.2
2019/05/03,13.85
2019/05/02,13.55
2019/04/30,13.45
2019/04/29,13.35
2019/04/26,13.45
2019/04/25,13.1
2019/04/24,11.95
2019/04/23,11.95
2019/04/22,11.9
2019/04/19,12.1
2019/04/18,12
2019/04/17,12.2
2019/04/16,12.1
2019/04/15,12.05
2019/04/12,12.2
2019/04/11,12.1
2019/04/10,12.25
2019/04/09,12.3
2019/04/08,11.9
2019/04/03,11.55
2019/04/02,11.6
2019/04/01,11.55
2019/03/29,11.65
2019/03/28,11.65
2019/03/27,11.65
2019/03/26,11.65
2019/03/25,11.65
2019/03/22,11.8
2019/03/21,11.6
2019/03/20,11.55
2019/03/19,11.7
2019/03/18,11.7
2019/03/15,11.65
2019/03/14,11.45
2019/03/13,11.55
2019/03/12,11.65
2019/03/11,11.45
2019/03/08,11.6
2019/03/07,11.85
2019/03/06,11.7
2019/03/05,11.6
2019/03/04,11.45
2019/02/27,11.45
2019/02/26,11.65
2019/02/25,11.65
2019/02/22,11.5
2019/02/21,11.45
2019/02/20,11.4
2019/02/19,11.45
2019/02/18,11.45
2019/02/15,11.4
2019/02/14,11.3
2019/02/13,11.1
2019/02/12,11.1
2019/02/11,10.85
2019/01/30,11.35
2019/01/29,12
2019/01/28,11.85
2019/01/25,11.95
2019/01/24,11.7
2019/01/23,11.55
2019/01/22,11.7
2019/01/21,11.7
2019/01/18,11.4
2019/01/17,11.25
2019/01/16,11.3
2019/01/15,11.25
2019/01/14,11.1
2019/01/11,11.2
2019/01/10,11.15
2019/01/09,11.1
2019/01/08,10.95
2019/01/07,11
2019/01/04,10.7
2019/01/03,10.9
2019/1/2,11.1
2018/12/28,11.25
2018/12/27,11.25
2018/12/26,11.2
2018/12/25,11.15
2018/12/24,11.2
2018/12/22,11.25
2018/12/21,11.4
2018/12/20,11.3
2018/12/19,11.3
2018/12/18,11.2
2018/12/17,11.4
