日期,收盤
2019-12-18,229
2019-12-17,238
2019-12-16,235
2019-12-13,229
2019-12-12,230.5
2019-12-11,230
2019-12-10,227.5
2019-12-09,225.5
2019-12-06,220
2019-12-05,221.5
2019-12-04,216
2019-12-03,219.5
2019-12-02,220.5
2019-11-29,223.5
2019-11-28,223.5
2019-11-27,227
2019-11-26,225.5
2019-11-25,227
2019-11-22,237.5
2019-11-21,216
2019-11-20,218
2019-11-19,219
2019-11-18,214.5
2019-11-15,212.5
2019-11-14,216.5
2019-11-13,216
2019-11-12,216
2019-11-11,208.5
2019-11-08,212
2019-11-07,215
2019-11-06,214.5
2019-11-05,219
2019-11-04,209
2019-11-01,202
2019-10-31,196
2019-10-30,196.5
2019-10-29,192.5
2019-10-28,195.5
2019-10-25,196
2019-10-24,208
2019-10-23,204.5
2019-10-22,188
2019-10-21,186.5
2019-10-18,187.5
2019-10-17,188
2019-10-16,183.5
2019/10/15,183
2019/10/14,185.5
2019/10/09,181
2019/10/08,187
2019/10/07,188.5
2019/10/04,191
2019/10/03,190
2019/10/02,187
2019/10/01,184.5
2019/09/27,178
2019/09/26,182
2019/09/25,186
2019/09/24,184.5
2019/09/23,184
2019/09/20,185
2019/09/19,189
2019/09/18,186.5
2019/09/17,186.5
2019/09/16,185.5
2019/09/12,187.5
2019/09/11,188
2019/09/10,184
2019/09/09,187
2019/09/06,189.5
2019/09/05,188.5
2019/09/04,186
2019/09/03,188.5
2019/09/02,193
2019/08/30,186
2019/08/29,181
2019/08/28,174.5
2019/08/27,170.5
2019/08/26,169
2019/08/23,174
2019/08/22,172.5
2019/08/21,171.5
2019/08/20,174.5
2019/08/19,173
2019/08/16,165
2019/08/15,162.5
2019/08/14,163.5
2019/08/13,161
2019/08/12,166
2019/08/08,165
2019/08/07,163.5
2019/08/06,157
2019/08/05,157
2019/08/02,164.5
2019/08/01,168
2019/07/31,166
2019/07/30,167
2019/07/29,171
2019/07/26,171
2019/07/25,172.5
2019/07/24,171.5
2019/07/23,174
2019/07/22,174.5
2019/07/19,172
2019/07/18,163
2019/07/17,171
2019/07/16,178
2019/07/15,180
2019/07/12,173.5
2019/07/11,183
2019/07/10,175
2019/07/09,172
2019/07/08,172.5
2019/07/05,176
2019/07/04,175.5
2019/07/03,175.5
2019/07/02,185
2019/07/01,190
2019/06/28,173
2019/06/27,169.5
2019/06/26,167
2019/06/25,168
2019/06/24,171
2019/06/21,170.5
2019/06/20,170
2019/06/19,171
2019/06/18,161
2019/06/17,162.5
2019/06/14,164
2019/06/13,163
2019/06/12,165.5
2019/06/11,160.5
2019/06/10,159.5
2019/06/06,149.5
2019/06/05,166
2019/06/04,162
2019/06/03,164
2019/05/31,167.5
2019/05/30,163
2019/05/29,164
2019/05/28,162
2019/05/27,163.5
2019/05/24,165
2019/05/23,167
2019/05/22,178
2019/05/21,173.5
2019/05/20,180
2019/05/17,187.5
2019/05/16,195
2019/05/15,200.5
2019/05/14,202.5
2019/05/13,200
2019/05/10,211
2019/05/09,217.5
2019/05/08,217
2019/05/07,221.5
2019/05/06,203.5
2019/05/03,207
2019/05/02,200
2019/04/30,201.5
2019/04/29,200
2019/04/26,199
2019/04/25,204.5
2019/04/24,198
2019/04/23,195.5
2019/04/22,198
2019/04/19,199.5
2019/04/18,198.5
2019/04/17,195.5
2019/04/16,195
2019/04/15,196
2019/04/12,201
2019/04/11,200
2019/04/10,197.5
2019/04/09,196.5
2019/04/08,193
2019/04/03,200
2019/04/02,200.5
2019/04/01,196
2019/03/29,198
2019/03/28,190
2019/03/27,191
2019/03/26,191
2019/03/25,190
2019/03/22,191
2019/03/21,190.5
2019/03/20,186
2019/03/19,187
2019/03/18,188.5
2019/03/15,179
2019/03/14,176
2019/03/13,176.5
2019/03/12,174
2019/03/11,178.5
2019/03/08,173
2019/03/07,172.5
2019/03/06,176
2019/03/05,169
2019/03/04,171
2019/02/27,171
2019/02/26,173.5
2019/02/25,173.5
2019/02/22,173
2019/02/21,176
2019/02/20,175
2019/02/19,174.5
2019/02/18,174.5
2019/02/15,174.5
2019/02/14,163.5
2019/02/13,159.5
2019/02/12,161
2019/02/11,159.5
2019/01/30,158
2019/01/29,157
2019/01/28,153
2019/01/25,154.5
2019/01/24,150
2019/01/23,154
2019/01/22,155
2019/01/21,155.5
2019/01/18,150.5
2019/01/17,150
2019/01/16,148
2019/01/15,148
2019/01/14,143
2019/01/11,144
2019/01/10,145
2019/01/09,146
2019/01/08,142
2019/01/07,140
2019/01/04,133.5
2019/01/03,134
2019/1/2,138.5
2018/12/28,142
2018/12/27,142
2018/12/26,138
2018/12/25,136.5
2018/12/24,141.5
2018/12/22,140
2018/12/21,139
2018/12/20,142
2018/12/19,139
2018/12/18,137.5
2018/12/17,137.5
