年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,573",36,25.5,22.8,23.7,24.2,-0.55,-2.3,1.58,1,0,1,4.39,3.92,4.13,63.3,0,63.3
2018,"1,573",38,25.55,23.2,24.25,24.2,-0.5,-2,1.09,0.88,0,0.88,3.79,3.44,3.64,80.7,0,80.7
2017,"1,573",36,26.4,23.65,24.75,24.9,0.1,0.4,1.04,0.85,0,0.85,3.59,3.22,3.41,81.7,0,81.7
2016,"1,573",36,25.9,17.05,24.65,21.8,6.7,37.3,0.49,0.5,0,0.5,2.93,1.93,2.29,102,0,102
2015,"1,573",36,26.75,16.75,17.95,22.8,-8.35,-31.7,1.43,1,0,1,5.97,3.74,4.39,69.9,0,69.9
2014,"1,573",38,27,24.6,26.3,25.7,-0.7,-2.6,1.05,0.7,0.2,0.9,3.66,3.33,3.5,66.7,19,85.7
2013,"1,543",38,28.4,23,27,25.9,-0.35,-1.3,0.38,0.4,0.1,0.5,2.17,1.76,1.93,105,26.3,132
2012,"1,527",36,30.9,24,27.35,27.6,-1.45,-5,1.36,1.01,0.15,1.16,4.83,3.75,4.2,74.3,11,85.3
2011,"1,505",38,35.8,26.85,28.8,32,-4.7,-14,2.83,1.99,0.5,2.49,9.27,6.96,7.79,70.3,17.7,88
2010,"1,353",49,35.8,29.25,33.5,31.9,0.5,1.5,1.54,1.01,0.33,1.34,4.58,3.74,4.2,65.6,21.4,87
2009,"1,309",43,33,21,33,27.7,9.9,42.9,2.03,1.3,0.43,1.73,8.24,5.24,6.25,64,21.2,85.2
2008,"1,256",45,54.4,19.2,23.1,39.7,-20.4,-46.9,4.49,3.5,0.3,3.8,19.8,6.99,9.57,78,6.68,84.6
2007,"1,150",70,52,32.6,43.5,40.6,8.9,25.7,3.56,2.78,0.3,3.08,9.45,5.92,7.58,78.1,8.43,86.5
2006,"1,105",62,34.95,24.4,34.6,29.7,9.6,38.4,4.83,3.75,0.35,4.1,16.8,11.7,13.8,77.6,7.25,84.9
2005,"1,055",66,37.55,23.15,25,30.8,-10.8,-30.2,5.26,3.9,0.5,4.4,19,11.7,14.3,74.1,9.51,83.7
2004,989,79,37.4,27,35.8,32.5,7.6,27,3.94,3,0.35,3.35,12.4,8.96,10.3,76.1,8.88,85
2003,945,72,28.7,18.9,28.2,24.2,8.8,45.4,1.86,1.4,0.15,1.55,8.2,5.4,6.4,75.3,8.06,83.3
2002,927,55,21.2,13.6,19.4,16.9,5.75,42.1,0.82,0.8,0.2,1,7.35,4.72,5.91,97.6,24.4,122
2001,906,43,21.8,11,13.65,16.2,-6.25,-31.4,2.12,1.5,0.3,1.8,16.4,8.26,11.1,70.8,14.2,84.9
2000,875,-,26.8,17,19.9,21.6,-3.3,-14.2,1.76,1.3,0.2,1.5,8.82,5.6,6.96,73.9,11.4,85.2
1999,856,-,28.4,16,23.2,22.8,3.81,19.6,2.24,2.5,0.5,3,18.8,10.6,13.1,112,22.3,134
1998,814,-,25.2,19.1,19.39,21.2,-5.21,-21.2,1.82,1.1,1,2.1,11,8.33,9.92,60.4,54.9,115
1997,739,-,34,22.2,24.6,27.4,-1.2,-4.7,1.56,1.25,0.25,1.5,6.76,4.41,5.48,80.1,16,96.2
1996,720,-,31.5,19,25.8,24.9,3.9,17.8,0.77,1.47,0,1.47,7.74,4.67,5.91,190,0,190
1995,727,-,33.5,17.89,21.9,23.7,-10.6,-32.6,1.22,1.09,0,1.09,6.09,3.25,4.6,89.5,0,89.5
1994,727,-,34.6,21,32.5,25.9,4.5,16.1,0.74,0.66,0.2,0.86,4.1,2.49,3.32,89,27,116
1993,727,-,28.3,13.9,28,19.1,13,86.7,1.13,1.09,0.2,1.29,9.28,4.56,6.77,96.1,17.6,114
1992,712,-,28.7,14.75,15,20.9,-11,-42.3,1.53,1.4,0.2,1.6,10.8,5.57,7.64,91.6,13.1,105
1991,698,-,43.3,22,26,31.2,-3.5,-11.9,-,1.6,0.2,1.8,8.18,4.16,5.77,-,-,-
1990,-,-,-,-,-,-,-,-,-,2,0.21,2.21,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1.8,0.21,2.01,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1.4,0.21,1.61,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1.4,0.24,1.64,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1.4,0.52,1.92,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1.4,0.52,1.92,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,2.8,0.46,3.26,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
