年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,104,64,324.5,280,305,301,-6,-1.9,9.82,8.8,0,8.8,3.14,2.71,2.92,89.6,0,89.6
2018,104,57,378,272,311,316,27,9.5,29.83,25,0,25,9.19,6.61,7.92,83.8,0,83.8
2017,104,64,290,222.5,284,259,53,22.9,9.46,8,0,8,3.6,2.76,3.09,84.6,0,84.6
2016,104,60,268.5,188,231,238,25.5,12.4,7.92,7.2,0,7.2,3.83,2.68,3.03,90.9,0,90.9
2015,104,60,259,191.5,205.5,222,-39,-16,8.74,7,0,7,3.66,2.7,3.15,80.1,0,80.1
2014,104,60,253,181,244.5,222,38,18.4,7.73,6,0,6,3.31,2.37,2.7,77.6,0,77.6
2013,104,60,229,154,206.5,193,51,32.8,6.53,4.85,0,4.85,3.15,2.12,2.52,74.3,0,74.3
2012,104,55,172,135,155.5,157,-9.5,-5.8,6.11,4.8,0,4.8,3.56,2.79,3.06,78.6,0,78.6
2011,104,55,195,119.5,165,156,30.5,22.7,5.51,4.9,0,4.9,4.1,2.51,3.13,88.9,0,88.9
2010,104,53,138,71.9,134.5,102,58.4,76.7,3.9,3.6,0,3.6,5.01,2.61,3.54,92.3,0,92.3
2009,104,51,89.8,68.9,76.1,78.6,-2.3,-2.9,3.85,2.04,1.36,3.4,4.93,3.79,4.32,53,35.3,88.3
2008,91.5,47,122.5,65.9,78.4,93.8,-6.8,-8,3.96,3.2,0,3.2,4.86,2.61,3.41,80.8,0,80.8
2007,91.5,53,102.5,73.9,85.2,85.8,6.5,8.3,4.18,3.5,0,3.5,4.74,3.41,4.08,83.7,0,83.7
2006,91.5,51,81.4,64.5,78.7,72,9.9,14.4,3.99,3.4,0,3.4,5.27,4.18,4.72,85.2,0,85.2
2005,91.5,49,69.2,49.9,68.8,58.9,17.8,34.9,3.33,3,0,3,6.01,4.34,5.09,90.1,0,90.1
2004,91.5,49,69.5,47.2,51,56.7,-1,-1.9,4.29,2.64,0.66,3.3,6.99,4.75,5.81,61.5,15.4,76.9
2003,85.8,51,60,38.7,52,48.3,-0.5,-1,3.36,1.78,1.12,2.9,7.49,4.83,6,53,33.3,86.3
2002,77.2,47,74,50.5,52.5,59.6,-21.5,-29.1,2.66,1.12,1.13,2.25,4.46,3.04,3.78,42.1,42.5,84.6
2001,69.4,47,103,53,74,77.5,-16.5,-18.2,2.96,1,1.5,2.5,4.72,2.43,3.22,33.8,50.7,84.5
2000,60.3,-,169,79,90.5,113,-48,-34.7,3.24,1.12,1.68,2.8,3.54,1.66,2.48,34.6,51.9,86.4
1999,51.6,-,146,78,138.5,98.4,37,36.5,3.21,0.96,1.8,2.76,3.54,1.89,2.8,29.9,56.1,86
1998,43.8,-,112,87,101.5,98.6,0.5,0.5,3.27,0.59,2.36,2.95,3.39,2.63,2.99,18,72.2,90.2
1997,35.4,-,134.5,80,101,98.6,-11,-9.8,3.99,0.65,2.6,3.25,4.06,2.42,3.3,16.3,65.2,81.5
1996,28.1,-,-,-,-,-,-,-,3.43,0.65,2.6,3.25,-,-,-,19,75.8,94.8
1995,22.3,-,-,-,-,-,-,-,-,0.7,2.8,3.5,-,-,-,-,-,-
1994,-,-,-,-,-,-,-,-,-,1,2.5,3.5,-,-,-,-,-,-
1993,-,-,-,-,-,-,-,-,-,0,3.2,3.2,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
