num,Date,estimate
2,2018/12/30,223.188458
3,2018/12/31,223.8509558
4,2019/1/1,224.6983196
5,2019/1/2,225.5611922
6,2019/1/3,226.2998928
7,2019/1/4,226.8566005
9,2019/1/6,227.5970808
10,2019/1/7,228.0094415
11,2019/1/8,228.6318411
12,2019/1/9,229.5315794
13,2019/1/10,230.6392622
14,2019/1/11,231.7494994
16,2019/1/13,233.155919
17,2019/1/14,233.456049
18,2019/1/15,233.8079073
19,2019/1/16,234.4736302
20,2019/1/17,235.5079568
21,2019/1/18,236.7177824
23,2019/1/20,238.5717598
24,2019/1/21,239.0543846
25,2019/1/22,239.4444648
26,2019/1/23,239.9159373
27,2019/1/24,240.4801574
28,2019/1/25,240.9935902
30,2019/1/27,241.3605395
31,2019/1/28,241.3127641
32,2019/1/29,241.342712
33,2019/1/30,241.5612046
34,2019/1/31,241.9320466
35,2019/2/1,242.3096527
37,2019/2/3,242.5115211
38,2019/2/4,242.2342002
39,2019/2/5,241.7736372
40,2019/2/6,241.2572345
41,2019/2/7,240.8386873
42,2019/2/8,240.6409039
44,2019/2/10,240.8233526
45,2019/2/11,240.8428932
46,2019/2/12,240.5573396
47,2019/2/13,239.9760969
48,2019/2/14,239.3254241
49,2019/2/15,238.9149036
51,2019/2/17,239.2986871
52,2019/2/18,239.7589626
53,2019/2/19,240.0446613
54,2019/2/20,240.0757262
55,2019/2/21,239.9860558
56,2019/2/22,239.9850915
58,2019/2/24,240.4798002
59,2019/2/25,240.722681
60,2019/2/26,240.7938207
61,2019/2/27,240.7438839
62,2019/2/28,240.7444048
63,2019/3/1,240.954362
65,2019/3/3,241.9920435
66,2019/3/4,242.5395227
67,2019/3/5,242.9072604
68,2019/3/6,243.0368545
69,2019/3/7,242.9556404
70,2019/3/8,242.758335
72,2019/3/10,242.5722874
73,2019/3/11,242.7967295
74,2019/3/12,243.1934907
75,2019/3/13,243.5638392
76,2019/3/14,243.6777992
77,2019/3/15,243.4327352
79,2019/3/17,242.5211366
80,2019/3/18,242.4142168
81,2019/3/19,242.6914448
82,2019/3/20,243.1660657
83,2019/3/21,243.5439592
84,2019/3/22,243.6366453
86,2019/3/24,243.2675925
87,2019/3/25,243.176717
88,2019/3/26,243.2181277
89,2019/3/27,243.2471893
90,2019/3/28,243.1025372
91,2019/3/29,242.7506723
93,2019/3/31,241.983018
94,2019/4/1,241.8561051
95,2019/4/2,241.8930149
96,2019/4/3,241.9415678
97,2019/4/4,241.8355983
98,2019/4/5,241.4731396
100,2019/4/7,240.0057617
101,2019/4/8,239.0879202
102,2019/4/9,238.237057
103,2019/4/10,237.5723278
104,2019/4/11,237.1069811
105,2019/4/12,236.7069158
107,2019/4/14,235.2349387
108,2019/4/15,233.9932008
109,2019/4/16,232.6467463
110,2019/4/17,231.5086581
111,2019/4/18,230.767571
112,2019/4/19,230.3600832
114,2019/4/21,229.5073909
115,2019/4/22,228.729628
116,2019/4/23,227.8334142
117,2019/4/24,227.0346248
118,2019/4/25,226.4423908
119,2019/4/26,225.984376
121,2019/4/28,224.8575917
122,2019/4/29,224.1377925
123,2019/4/30,223.5068385
124,2019/5/1,223.1262407
125,2019/5/2,223.0302149
126,2019/5/3,223.1116383
128,2019/5/5,223.148643
129,2019/5/6,222.9026261
130,2019/5/7,222.4859972
131,2019/5/8,221.991312
132,2019/5/9,221.5547794
133,2019/5/10,221.3145586
135,2019/5/12,221.5659762
136,2019/5/13,221.7903365
137,2019/5/14,221.7812514
138,2019/5/15,221.4342826
139,2019/5/16,220.8699127
140,2019/5/17,220.3773316
142,2019/5/19,220.476975
143,2019/5/20,220.9449669
144,2019/5/21,221.3366926
145,2019/5/22,221.4651702
146,2019/5/23,221.3673915
147,2019/5/24,221.2410094
149,2019/5/26,221.4479944
150,2019/5/27,221.6522189
151,2019/5/28,221.7163641
152,2019/5/29,221.6082423
153,2019/5/30,221.4533085
154,2019/5/31,221.435637
156,2019/6/2,222.0824266
157,2019/6/3,222.5492724
158,2019/6/4,222.8916482
159,2019/6/5,223.0042707
160,2019/6/6,222.870471
161,2019/6/7,222.5507091
163,2019/6/9,221.8477335
164,2019/6/10,221.7215777
165,2019/6/11,221.7909239
166,2019/6/12,221.9159682
167,2019/6/13,221.8622832
168,2019/6/14,221.4440954
170,2019/6/16,219.7588325
171,2019/6/17,219.0271803
172,2019/6/18,218.6598015
173,2019/6/19,218.5926209
174,2019/6/20,218.5662571
175,2019/6/21,218.3235336
177,2019/6/23,217.1211655
178,2019/6/24,216.5270456
179,2019/6/25,216.1266322
180,2019/6/26,215.8546309
181,2019/6/27,215.54957
182,2019/6/28,215.1139094
184,2019/6/30,214.2241271
185,2019/7/1,214.1234176
186,2019/7/2,214.3510513
187,2019/7/3,214.8072865
188,2019/7/4,215.3265725
189,2019/7/5,215.772351
191,2019/7/7,216.3054932
192,2019/7/8,216.5150168
193,2019/7/9,216.8536018
194,2019/7/10,217.4573731
195,2019/7/11,218.3923155
196,2019/7/12,219.5870499
